gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,57,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,No internet service,One year,Yes,Mailed check,72.08,4109.33,Yes
Female,0,No,No,9,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Two year,No,Credit card,45.88,404.37,No
Male,0,Yes,Yes,16,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card,95.31,1517.94,No
Female,0,No,No,20,Yes,No,No,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer,57.47,1147.12,No
Male,0,No,No,55,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card,56.97,3136.79,No
Female,0,Yes,No,61,Yes,Yes,No,No,No internet service,No,Yes,No,No,One year,No,Mailed check,82.84,5058.29,No
Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,115.97,4056.42,No
Male,0,No,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,One year,No,Bank transfer,93.58,4769.96,Yes
Male,0,Yes,No,53,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,108.79,5757.11,Yes
Female,0,Yes,Yes,48,Yes,Yes,No,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,73.42,3528.2,Yes
Male,0,No,Yes,17,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer,57.23,982.63,Yes
Female,0,Yes,Yes,13,Yes,Yes,No,No,No,Yes,Yes,No,No internet service,One year,No,Electronic check,90.61,1185.38,No
Male,1,No,Yes,56,Yes,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,75.13,4214.72,No
Female,0,Yes,Yes,66,Yes,No phone service,No,Yes,No internet service,Yes,No,No internet service,Yes,One year,Yes,Bank transfer,57.32,3784.7,Yes
Male,0,No,No,28,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No,No internet service,One year,Yes,Bank transfer,111.51,3114.32,No
Male,1,Yes,Yes,4,Yes,Yes,No,Yes,Yes,No,No,No internet service,No internet service,One year,No,Electronic check,23.93,94.72,No
Male,0,Yes,No,9,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,One year,No,Mailed check,32.59,288.32,No
Male,0,No,Yes,56,Yes,No phone service,DSL,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,58.76,3289.36,No
Female,0,Yes,No,45,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No,One year,No,Mailed check,79.3,3566.29,No
Female,0,No,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No internet service,Two year,Yes,Electronic check,59.15,1182.3,No
Male,1,Yes,No,49,No,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card,95.79,4693.1,Yes
Female,0,Yes,Yes,9,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,One year,No,Credit card,31.22,278.3,No
Male,0,No,No,39,Yes,No phone service,DSL,No,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,26.33,1018.13,No
Female,1,No,No,43,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Mailed check,46.99,2024.92,No
Female,0,No,No,7,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer,118.52,823.29,No
Male,0,No,Yes,69,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,Yes,Two year,Yes,Bank transfer,81.28,5612.15,No
Female,1,No,No,31,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,88.47,2744.76,No
Male,0,No,Yes,53,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Credit card,105.36,5579.94,No
Male,0,Yes,No,26,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No,No,One year,Yes,Mailed check,82.92,2160.19,Yes
Male,0,Yes,No,58,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No internet service,One year,Yes,Mailed check,89.36,5190.87,Yes
Male,0,No,No,24,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No internet service,Two year,Yes,Electronic check,90.14,2158.42,No
Male,0,Yes,No,12,Yes,Yes,No,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,69.89,832.13,No
Female,1,No,Yes,33,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer,49.43,1632.36,No
Female,0,No,Yes,21,Yes,No,DSL,Yes,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,100.49,2112.24,Yes
Male,0,Yes,No,47,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,No internet service,Two year,No,Mailed check,94.55,4453.82,No
Male,0,No,No,37,Yes,No phone service,No,No,No internet service,Yes,No internet service,No,Yes,Two year,No,Bank transfer,48.62,1792.91,No
Male,0,No,Yes,11,Yes,No,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,51.44,558.83,No
Male,0,Yes,No,43,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,Yes,Two year,No,Electronic check,59.75,2562.68,Yes
Female,0,Yes,Yes,43,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer,90.13,3874.11,No
Female,0,Yes,Yes,68,No,No,DSL,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Electronic check,50.08,3397.34,No
Male,0,No,Yes,42,Yes,No phone service,DSL,No internet service,No,Yes,Yes,No internet service,No,One year,No,Credit card,78.16,3274.96,No
Male,0,No,No,72,Yes,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,One year,No,Electronic check,47.24,3394.69,No
Female,0,No,No,69,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,One year,Yes,Mailed check,76.31,5257.5,No
Male,0,No,No,16,Yes,No phone service,No,No internet service,Yes,No,No,Yes,No internet service,One year,No,Bank transfer,64.88,1037.78,No
Female,0,No,Yes,20,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,No,Two year,No,Bank transfer,32.96,667.37,Yes
Female,0,Yes,Yes,43,Yes,No,No,No,No internet service,Yes,Yes,No,Yes,Two year,No,Credit card,100.26,4307.35,No
Female,0,Yes,Yes,2,Yes,No phone service,No,No,No,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,106.82,204.4,No
Female,0,No,No,8,Yes,No phone service,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,Yes,Mailed check,94.08,759.87,No
Female,0,Yes,No,53,Yes,No phone service,No,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,39.5,2097.24,Yes
Female,0,Yes,Yes,54,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer,77.16,4164.52,No
Female,1,No,No,5,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Bank transfer,88.96,442.5,No
Female,0,No,Yes,55,No,Yes,No,Yes,No,No internet service,No internet service,No,No,Two year,No,Mailed check,22.4,1234.09,No
Female,0,No,No,68,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,No internet service,Two year,Yes,Electronic check,41.54,2833.25,No
Female,1,No,No,3,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Bank transfer,106.68,315.01,Yes
Female,0,No,No,68,No,No,No,No,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Bank transfer,109.29,7429.52,No
Male,0,No,Yes,41,Yes,No phone service,DSL,No,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Credit card,60.18,2462.02,Yes
Male,0,Yes,Yes,16,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,Yes,One year,No,Credit card,20.39,324.39,Yes
Female,0,Yes,No,27,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer,60.29,1637.42,No
Female,0,No,Yes,58,Yes,No phone service,No,No,No,No internet service,No,Yes,Yes,One year,Yes,Electronic check,19.11,1113.67,No
Female,0,Yes,No,21,Yes,Yes,No,No,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,39.88,836.17,No
Female,0,No,Yes,41,Yes,No,No,No,No internet service,Yes,No,No,No internet service,One year,Yes,Credit card,25.15,1037.15,No
Male,0,Yes,No,60,Yes,No phone service,DSL,No,Yes,No,No,No,Yes,One year,No,Bank transfer,85.88,5147.61,Yes
Male,0,No,Yes,43,Yes,No phone service,DSL,No internet service,No internet service,Yes,Yes,No internet service,Yes,One year,No,Mailed check,36.22,1555.82,No
Female,1,Yes,Yes,16,Yes,No,No,Yes,No,No,No internet service,No,Yes,One year,No,Mailed check,39.06,616.95,No
Male,1,No,Yes,3,Yes,No,No,Yes,Yes,No internet service,No,Yes,No internet service,One year,No,Credit card,22.96,78.28,No
Male,0,Yes,Yes,55,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No,No internet service,One year,Yes,Credit card,71.82,3957.86,No
Female,0,No,No,53,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No internet service,One year,Yes,Bank transfer,99.61,5287.77,No
Male,0,Yes,No,4,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,One year,No,Credit card,105.72,418.47,No
Female,0,No,Yes,55,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,No internet service,No,Month-to-month,No,Electronic check,77.79,4287.5,No
Male,0,Yes,No,22,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,No internet service,One year,Yes,Credit card,40.44,895.3,No
Female,0,Yes,Yes,54,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No,Yes,One year,No,Mailed check,50.09,2699.63,No
Male,0,Yes,No,50,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No internet service,One year,Yes,Credit card,37.14,1847.81,Yes
Male,0,Yes,No,24,Yes,No,No,Yes,No internet service,No internet service,No internet service,No,No,Two year,No,Bank transfer,102.31,2459.27,Yes
Female,1,No,Yes,3,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No internet service,One year,No,Credit card,67.63,206.26,Yes
Male,0,Yes,Yes,66,Yes,No,No,Yes,No,No internet service,No,No,Yes,One year,No,Electronic check,106.15,7002.56,No
Male,0,No,Yes,32,No,No,DSL,Yes,Yes,No internet service,Yes,No,No,Month-to-month,No,Bank transfer,114.75,3671.41,No
Male,0,Yes,No,63,Yes,No,No,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,88.03,5539.53,No
Male,0,No,Yes,20,Yes,No,DSL,No internet service,No,Yes,No,Yes,Yes,One year,No,Electronic check,62.38,1252.68,Yes
Male,0,No,Yes,13,Yes,Yes,No,No,No,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer,46.61,606.45,No
Female,0,No,No,36,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No internet service,One year,Yes,Credit card,57.45,2069.33,No
Male,1,Yes,Yes,20,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Credit card,20.47,412.96,Yes
Female,0,No,Yes,57,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Credit card,96.78,5522.1,Yes
Male,1,No,No,34,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,108.76,3697.5,No
Male,1,No,No,3,Yes,No phone service,No,No internet service,Yes,No,No internet service,No,Yes,One year,No,Credit card,91.2,280.73,No
Female,0,No,Yes,60,Yes,No,No,No,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer,87.37,5243.29,No
Female,0,No,Yes,53,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,Yes,One year,No,Credit card,106.45,5640.16,Yes
Female,0,Yes,Yes,57,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Electronic check,109.76,6251.63,No
Female,0,Yes,No,1,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Mailed check,52.63,48.18,No
Male,0,Yes,Yes,41,Yes,Yes,No,No,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,70.18,2886.34,No
Male,0,Yes,Yes,19,Yes,No,DSL,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,71.54,1362.75,Yes
Female,0,Yes,No,47,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,No,Month-to-month,No,Electronic check,27.47,1291.39,No
Male,0,No,Yes,62,Yes,Yes,No,Yes,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer,35.62,2205.08,Yes
Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,Yes,Yes,No,No,No internet service,No,Two year,Yes,Mailed check,43.47,1872.59,No
Female,0,No,Yes,57,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,119.92,6833.88,No
Female,0,No,No,11,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,Bank transfer,84.36,918.57,Yes
Female,1,Yes,No,45,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card,45.81,2055.32,No
Male,0,Yes,Yes,20,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,No,No,One year,No,Bank transfer,68.68,1365.93,No
Male,0,Yes,No,29,Yes,No,DSL,Yes,No internet service,No,No,Yes,No,One year,Yes,Electronic check,48.8,1408.38,No
Female,0,No,Yes,42,Yes,Yes,No,Yes,No,No internet service,Yes,No,No,Two year,Yes,Electronic check,103.69,4348.41,No
Male,0,Yes,No,71,Yes,No,No,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card,90.66,6445.21,No
Male,0,No,Yes,50,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No,One year,Yes,Bank transfer,39.04,1949.33,Yes
Female,0,No,No,11,Yes,Yes,No,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer,79.57,869.11,No
Female,0,Yes,No,18,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No,No,Month-to-month,No,Mailed check,107.69,1944.42,No
Female,1,Yes,Yes,70,Yes,Yes,No,No internet service,Yes,No internet service,Yes,No,Yes,One year,No,Electronic check,25.31,1763.58,Yes
Male,0,No,Yes,72,Yes,Yes,No,Yes,No,No,No internet service,No,No internet service,Two year,Yes,Mailed check,86.22,6207.05,No
Male,0,No,Yes,18,Yes,No phone service,No,No,No,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer,47.51,847.56,Yes
Male,0,No,Yes,19,Yes,No,No,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,108.14,2062.62,Yes
Female,0,Yes,No,64,Yes,No,DSL,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,107.67,6883.73,No
Female,0,No,Yes,10,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,No,Month-to-month,Yes,Credit card,107.39,1065.14,No
Male,0,No,No,15,Yes,No,DSL,No,No,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,111.72,1676.22,Yes
Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Bank transfer,18.35,643.19,No
Male,0,Yes,No,19,Yes,No,No,No,No internet service,Yes,Yes,No internet service,Yes,One year,No,Bank transfer,58.56,1116.41,Yes
Male,0,Yes,No,22,Yes,No,No,Yes,No,No internet service,No internet service,No internet service,Yes,Two year,Yes,Bank transfer,96.23,2107.31,No
Male,0,No,Yes,63,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,91.62,5766.43,No
Female,0,No,No,13,Yes,Yes,No,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card,51.32,669.56,Yes
Female,0,No,No,12,Yes,No,Fiber optic,No,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,68.88,821.57,No
Male,0,Yes,Yes,67,Yes,Yes,DSL,No,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,21.64,1440.3,No
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,No internet service,Two year,Yes,Bank transfer,56.08,65.66,No
Male,0,Yes,No,68,Yes,No,DSL,No internet service,No internet service,No,No,No internet service,No,One year,No,Mailed check,118.95,8087.06,No
Female,0,No,No,0,Yes,Yes,No,Yes,Yes,No internet service,No internet service,Yes,Yes,One year,No,Credit card,25.47,-5.02,Yes
Male,0,No,No,18,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No internet service,Yes,Two year,Yes,Mailed check,114.79,2058.37,Yes
Male,0,No,No,28,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,62.88,1764.75,Yes
Female,1,No,Yes,28,Yes,No phone service,No,No,No internet service,No internet service,No,No,No,Two year,No,Mailed check,104.66,2925.08,No
Male,0,No,No,16,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card,77.77,1251.34,No
Male,0,Yes,Yes,6,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,Two year,Yes,Bank transfer,52.82,310.46,No
Male,0,No,No,43,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No internet service,Two year,No,Electronic check,107.02,4609.15,No
Male,0,No,Yes,36,Yes,No phone service,DSL,No internet service,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card,67.32,2414.93,Yes
Male,0,No,Yes,8,No,No,No,No internet service,No internet service,No,No,No internet service,No,Two year,No,Bank transfer,46.39,370.43,Yes
Female,0,No,No,8,No,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,One year,No,Mailed check,61.76,494.74,Yes
Female,0,Yes,No,45,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,No,One year,No,Mailed check,18.49,831.31,Yes
Female,1,No,No,50,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No,Yes,Two year,No,Credit card,31.76,1583.99,No
Female,0,No,No,44,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No internet service,No,Two year,No,Mailed check,72.99,3217.69,Yes
Female,0,Yes,Yes,36,Yes,Yes,No,No internet service,No internet service,No,No internet service,No,No internet service,One year,No,Credit card,88.16,3171.58,No
Female,0,Yes,Yes,27,Yes,No phone service,DSL,Yes,No,No internet service,No,Yes,Yes,Two year,Yes,Mailed check,19.65,533.76,Yes
Female,0,No,Yes,25,No,No phone service,DSL,No internet service,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,108.62,2705.6,No
Female,1,No,No,68,Yes,No,No,No internet service,No,No internet service,No,No internet service,No,One year,No,Mailed check,47.78,3250.67,No
Male,0,Yes,No,56,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,No,Two year,No,Credit card,88.29,4938.89,No
Male,0,Yes,No,29,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Credit card,106.92,3091.37,No
Male,1,Yes,Yes,30,Yes,No phone service,DSL,No internet service,No,No,No internet service,Yes,No internet service,One year,Yes,Electronic check,94.21,2818.63,No
Male,1,Yes,No,37,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,98.62,3650.18,No
Female,1,No,No,65,No,Yes,DSL,No internet service,No,No,Yes,No,No,One year,No,Mailed check,59.38,3859.63,No
Female,1,Yes,Yes,38,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Credit card,96.49,3659.21,No
Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,79.48,1119.82,No
Female,1,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes,One year,No,Mailed check,100.08,3800.73,Yes
Male,0,Yes,Yes,13,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,One year,No,Mailed check,39.0,505.57,No
Female,0,No,Yes,37,Yes,Yes,No,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card,85.82,3169.01,Yes
Male,0,No,No,39,Yes,Yes,No,Yes,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Mailed check,111.56,4346.77,No
Male,0,No,Yes,11,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,No internet service,One year,No,Electronic check,96.22,1054.34,Yes
Female,1,Yes,No,33,Yes,No,No,No internet service,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Credit card,96.84,3198.64,No
Female,0,No,No,59,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,94.32,5566.88,No
Female,0,Yes,No,60,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,One year,Yes,Bank transfer,26.87,1604.1,No
Male,0,No,No,47,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Bank transfer,110.03,5176.5,No
Female,0,No,Yes,39,Yes,No phone service,No,No,Yes,No,No internet service,No,Yes,Month-to-month,No,Electronic check,50.97,1984.46,No
Female,0,Yes,No,23,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No,One year,Yes,Credit card,54.58,1253.22,No
Female,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No,No,No,No,Two year,No,Credit card,32.54,-8.21,No
Male,0,No,Yes,2,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Two year,No,Mailed check,20.02,30.99,No
Female,0,No,No,43,No,No phone service,Fiber optic,No internet service,Yes,No,No,Yes,No,One year,Yes,Electronic check,52.39,2256.52,No
Female,0,No,Yes,6,Yes,No phone service,No,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,35.05,211.2,No
Female,1,Yes,Yes,12,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No,Two year,Yes,Mailed check,81.14,976.24,No
Female,1,No,Yes,55,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No,Month-to-month,No,Mailed check,119.31,6569.15,No
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,107.64,5060.3,Yes
Male,1,Yes,No,67,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card,47.94,3214.71,No
Male,0,No,No,26,Yes,No phone service,DSL,No,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Mailed check,58.78,1526.09,No
Female,0,No,No,47,Yes,No phone service,No,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,87.19,4098.22,No
Male,0,No,Yes,62,Yes,No,No,Yes,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,68.91,4274.97,No
Male,0,No,No,16,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,No,One year,Yes,Credit card,22.35,359.43,No
Male,0,No,Yes,12,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,79.7,962.71,Yes
Female,0,No,No,56,Yes,No phone service,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Credit card,63.76,3573.15,Yes
Male,0,No,No,44,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,102.52,4503.29,No
Female,0,Yes,Yes,16,Yes,Yes,No,No,No,No internet service,No,No internet service,No internet service,Two year,Yes,Mailed check,93.51,1501.35,No
Male,1,No,Yes,58,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No internet service,One year,No,Bank transfer,113.21,6561.29,No
Female,0,Yes,No,32,Yes,No,No,No,No internet service,Yes,No internet service,Yes,No internet service,One year,Yes,Credit card,77.92,2499.65,No
Male,0,Yes,Yes,57,Yes,No,No,Yes,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer,100.58,5726.88,No
Female,0,No,Yes,66,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.53,7232.09,No
Female,0,No,Yes,7,No,No phone service,DSL,No internet service,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Electronic check,62.45,427.22,No
Male,0,Yes,Yes,40,Yes,No,DSL,No internet service,Yes,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,75.21,3012.49,No
Female,0,No,Yes,56,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Two year,No,Credit card,114.61,6409.82,No
Male,0,No,Yes,34,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,One year,No,Credit card,49.95,1704.76,Yes
Male,0,Yes,No,6,Yes,No,No,No internet service,Yes,No,No,No internet service,No internet service,Two year,No,Bank transfer,64.11,377.14,No
Male,0,Yes,No,47,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,Yes,No internet service,Two year,No,Bank transfer,26.0,1213.35,No
Female,0,Yes,No,56,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Bank transfer,36.82,2069.31,No
Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,93.59,660.93,No
Female,1,Yes,No,46,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No internet service,Two year,No,Bank transfer,58.3,2678.62,Yes
Male,0,No,Yes,51,Yes,No,No,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,72.54,3700.23,No
Female,0,Yes,Yes,17,No,No,DSL,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card,59.76,1006.22,No
Female,0,Yes,Yes,16,No,No,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,One year,Yes,Mailed check,70.37,1119.88,No
Male,0,No,Yes,32,Yes,Yes,No,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,45.76,1473.66,No
Female,0,No,Yes,22,Yes,No phone service,No,Yes,No internet service,No internet service,No,Yes,No,One year,Yes,Bank transfer,49.31,1082.25,No
Female,0,Yes,Yes,21,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,100.33,2113.77,Yes
Male,0,No,No,45,Yes,No,No,No internet service,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,94.53,4252.86,No
Female,0,No,No,18,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,65.98,1184.82,No
Female,0,No,No,16,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,47.98,761.65,No
Female,0,Yes,Yes,41,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Two year,No,Bank transfer,37.52,1543.65,No
